,Latitud,Ano,Mes,Dia,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas,Topoforma,Topoforma_cod
10823,19.401712270545396,2019.0,3.0,2.0,-97.43933144945379,26.176666238422882,11.03388080154822,26.176666238422882,11.03388080154822,17.384182849250788,17.384182849250788,Meseta,6
10824,27.109014125103027,2019.0,3.0,2.0,-112.9254929374485,29.736285662308653,13.641273255979483,29.736285662308653,13.641273255979483,20.054674637504903,20.054674637504903,Meseta,6
10825,22.210293653793535,2019.0,3.0,2.0,-102.45254040213139,28.124952321882823,8.16733045520308,28.124952321882823,8.16733045520308,17.308210071117685,17.308210071117685,Meseta,6
10826,26.38,2019.0,3.0,2.0,-112.5283992537026,28.029515784915137,15.368852627275325,28.029515784915137,15.368852627275325,21.008383369856638,21.008383369856638,Meseta,6
10827,18.567432179145325,2019.0,3.0,2.0,-99.3735141889458,33.486705354972386,15.430172907173871,33.486705354972386,15.430172907173871,23.633674408604293,23.633674408604293,Meseta,6
10828,23.892752293091586,2019.0,3.0,2.0,-104.79977573947414,29.17082670132671,6.47996501419159,29.17082670132671,6.47996501419159,15.688205503578859,15.688205503578859,Meseta,6
10829,22.50113770072651,2019.0,3.0,2.0,-104.01820321162418,30.633842816995557,8.736750373039019,30.633842816995557,8.736750373039019,18.24678725198463,18.24678725198463,Meseta,6
10830,21.08578111245176,2019.0,3.0,2.0,-101.8603648125804,28.997007214672976,9.975605021851909,28.997007214672976,9.975605021851909,19.418236548612427,19.418236548612427,Meseta,6
10831,28.068948668078235,2019.0,3.0,2.0,-113.55889161686186,26.489269550174882,13.439285013987474,26.489269550174882,13.439285013987474,18.12115171498137,18.12115171498137,Meseta,6
10832,18.44338105910297,2019.0,3.0,2.0,-98.14949509657026,32.787819056333454,14.304917826122237,32.787819056333454,14.304917826122237,22.72087822148945,22.72087822148945,Meseta,6
10833,18.52,2019.0,3.0,2.0,-99.18390250705663,33.84196922277911,15.815417104332923,33.84196922277911,15.815417104332923,24.011978710210496,24.011978710210496,Meseta,6
10834,21.20851067160332,2019.0,3.0,2.0,-100.22,30.82193140425553,12.064314370389475,30.82193140425553,12.064314370389475,19.917014577560117,19.917014577560117,Meseta,6
